               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11906,             0.09572,            0.058469,          0.00037525,            0.019165,          0.00020724,          4.3194e-05,             0.10659,            0.068355,            0.054247,              0.0937,              0.0007,              0.0007
                   1,             0.10084,            0.070141,            0.051502,           0.0028026,             0.20735,            0.012597,           0.0035301,            0.087615,            0.057414,            0.042442,            0.086493,           0.0014926,           0.0014926
                   2,            0.080674,            0.065306,            0.039236,             0.90795,             0.11099,            0.092623,            0.030695,             0.07725,            0.047982,            0.029055,            0.079277,           0.0022772,           0.0022772
                   3,            0.072607,            0.055335,             0.02755,             0.20632,             0.24927,            0.070864,            0.017806,            0.081918,            0.054221,            0.023662,            0.072054,            0.003054,            0.003054
                   4,            0.070292,             0.04907,            0.021465,             0.92071,            0.088614,               0.168,            0.053637,            0.077917,            0.043781,            0.018455,            0.064823,           0.0038228,           0.0038228
                   5,            0.066701,            0.046374,            0.017491,              0.7451,             0.39058,             0.32532,             0.11679,            0.065957,            0.045702,            0.013733,            0.057584,           0.0045837,           0.0045837
                   6,            0.066009,            0.043759,            0.014351,             0.70373,             0.33636,             0.25702,            0.066119,            0.064739,            0.043557,            0.011235,            0.050337,           0.0053367,           0.0053367
                   7,            0.065586,            0.040417,            0.012178,             0.60781,             0.31451,             0.31224,             0.14846,            0.061094,            0.041745,           0.0096296,            0.043082,           0.0060817,           0.0060817
                   8,             0.06155,            0.040566,            0.010563,             0.43585,             0.42654,             0.14836,            0.048199,            0.075361,            0.038228,           0.0073651,            0.035819,           0.0068188,           0.0068188
                   9,            0.068823,            0.037354,           0.0099899,              0.6032,             0.35449,              0.2905,             0.10408,            0.074397,            0.033051,           0.0068055,            0.028548,           0.0075481,           0.0075481
                  10,            0.067486,            0.035787,           0.0084655,             0.54228,             0.48556,             0.35283,             0.13186,            0.071595,            0.033295,           0.0059432,            0.021269,           0.0082693,           0.0082693
                  11,            0.068977,            0.034483,           0.0077631,             0.57464,             0.30382,             0.28216,              0.1036,            0.064285,            0.034708,           0.0064496,            0.013983,           0.0089827,           0.0089827
                  12,            0.064924,            0.035029,           0.0079799,             0.44299,             0.44482,             0.18813,            0.051512,            0.065067,            0.043204,           0.0048892,            0.009406,            0.009406,            0.009406
                  13,            0.061073,            0.033207,           0.0071884,             0.58346,             0.48756,             0.38615,             0.13211,            0.059412,            0.034891,           0.0042452,            0.009406,            0.009406,            0.009406
                  14,            0.058617,            0.033218,           0.0061073,             0.54076,             0.47464,              0.4087,             0.12632,            0.060243,            0.043313,           0.0047486,           0.0093565,           0.0093565,           0.0093565
                  15,            0.057521,            0.032278,           0.0062208,             0.57648,             0.48016,             0.39967,             0.15354,            0.063597,            0.043336,           0.0040562,            0.009307,            0.009307,            0.009307
                  16,            0.055812,            0.031756,           0.0056687,             0.39968,             0.49796,             0.34216,             0.17099,            0.054793,            0.037012,           0.0035236,           0.0092575,           0.0092575,           0.0092575
                  17,            0.052981,            0.031067,           0.0052426,             0.57192,             0.50813,              0.5018,             0.22605,            0.058213,             0.03207,           0.0031727,            0.009208,            0.009208,            0.009208
                  18,            0.053974,            0.030524,           0.0048763,             0.60091,             0.59973,             0.56717,             0.25401,            0.047153,            0.036715,           0.0032704,           0.0091585,           0.0091585,           0.0091585
                  19,            0.049442,            0.030044,           0.0049127,             0.59012,              0.6933,             0.59782,             0.27704,            0.044886,            0.032537,           0.0029328,            0.009109,            0.009109,            0.009109
                  20,            0.044945,            0.030081,           0.0043793,              0.5431,             0.71813,             0.50081,               0.183,            0.049568,            0.032306,           0.0027627,           0.0090595,           0.0090595,           0.0090595
                  21,            0.047772,            0.029905,           0.0048279,             0.67426,             0.68716,             0.61944,             0.27892,            0.043159,            0.029887,           0.0030256,             0.00901,             0.00901,             0.00901
                  22,             0.04613,             0.02915,           0.0042062,             0.60471,             0.70883,             0.59105,             0.25037,            0.041808,            0.029359,           0.0031458,           0.0089605,           0.0089605,           0.0089605
                  23,            0.044974,            0.029017,            0.004063,             0.65968,             0.69883,             0.66816,             0.35301,            0.043064,            0.027893,           0.0032029,            0.008911,            0.008911,            0.008911
                  24,            0.043299,            0.028349,           0.0041567,             0.55803,             0.57274,             0.52925,             0.24292,            0.043037,            0.030245,           0.0037055,           0.0088615,           0.0088615,           0.0088615
                  25,            0.041054,            0.028707,           0.0039939,             0.67187,             0.54107,             0.57614,             0.30294,            0.044596,            0.030552,           0.0038365,            0.008812,            0.008812,            0.008812
                  26,             0.04055,            0.028207,           0.0039601,             0.69703,             0.66928,             0.60868,             0.30944,            0.042696,            0.035627,           0.0040933,           0.0087625,           0.0087625,           0.0087625
                  27,             0.04112,            0.028914,           0.0038147,             0.70985,             0.62458,             0.58395,             0.26317,             0.04205,            0.033874,           0.0035321,            0.008713,            0.008713,            0.008713
                  28,            0.040869,            0.028416,           0.0032485,             0.77412,             0.65164,             0.70054,             0.38225,            0.033949,            0.027911,           0.0025647,           0.0086635,           0.0086635,           0.0086635
                  29,            0.041767,            0.027366,           0.0031826,             0.65806,             0.72394,             0.61618,             0.26442,            0.040709,            0.026701,           0.0026306,            0.008614,            0.008614,            0.008614
                  30,            0.039556,            0.027127,           0.0034786,             0.77137,             0.73828,              0.7372,             0.39213,            0.036401,            0.029036,           0.0028347,           0.0085645,           0.0085645,           0.0085645
                  31,            0.036929,            0.026854,           0.0035386,             0.73518,             0.75776,             0.70768,             0.35158,            0.035404,            0.026067,           0.0025473,            0.008515,            0.008515,            0.008515
                  32,            0.036179,             0.02669,            0.003055,              0.7954,             0.75606,             0.72573,             0.37472,            0.035464,            0.025074,           0.0026326,           0.0084655,           0.0084655,           0.0084655
                  33,              0.0354,            0.025691,           0.0034146,             0.78728,             0.74533,             0.71124,             0.38991,            0.031748,            0.024523,            0.002632,            0.008416,            0.008416,            0.008416
                  34,            0.036233,             0.02633,           0.0031539,              0.7595,             0.71505,             0.67724,             0.38028,            0.034077,            0.025004,           0.0024919,           0.0083665,           0.0083665,           0.0083665
                  35,            0.034964,             0.02597,           0.0029979,             0.75918,             0.74045,             0.71028,             0.36819,            0.036052,            0.026054,           0.0024917,            0.008317,            0.008317,            0.008317
                  36,            0.035038,            0.025577,           0.0028557,             0.75583,             0.68448,             0.68875,             0.38774,            0.035559,            0.027125,           0.0026541,           0.0082675,           0.0082675,           0.0082675
