               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11932,            0.096362,            0.058382,          0.00032697,            0.016767,          0.00017926,           4.573e-05,             0.10762,             0.06918,            0.054485,              0.0937,              0.0007,              0.0007
                   1,             0.10142,            0.071001,             0.05204,           0.0029995,             0.21386,            0.010335,           0.0029983,             0.08857,            0.059321,            0.043423,            0.086493,           0.0014926,           0.0014926
                   2,            0.082478,            0.067292,            0.040774,             0.89612,             0.10662,            0.075642,            0.021235,            0.078556,             0.05043,            0.030402,            0.079277,           0.0022772,           0.0022772
                   3,             0.07232,            0.058145,            0.029488,             0.89629,            0.089034,             0.07725,             0.01968,            0.077909,            0.057714,            0.025726,            0.072054,            0.003054,            0.003054
                   4,            0.069879,            0.051434,            0.023678,             0.92255,            0.082969,             0.16028,            0.049347,            0.071623,            0.046535,            0.021523,            0.064823,           0.0038228,           0.0038228
                   5,            0.066427,            0.048344,            0.020014,             0.70216,             0.36647,             0.29689,            0.095271,             0.06402,            0.049379,            0.016438,            0.057584,           0.0045837,           0.0045837
                   6,            0.065737,            0.045575,            0.016771,             0.78106,             0.24999,             0.19017,            0.045516,            0.064619,            0.042901,            0.013887,            0.050337,           0.0053367,           0.0053367
                   7,            0.064204,            0.043276,            0.014933,             0.85921,             0.28131,             0.33207,             0.16135,            0.069254,            0.038651,            0.011787,            0.043082,           0.0060817,           0.0060817
                   8,            0.064322,            0.041236,            0.013024,             0.60549,             0.29424,             0.31595,             0.12078,            0.069065,            0.037907,           0.0097489,            0.035819,           0.0068188,           0.0068188
                   9,             0.06567,            0.039806,            0.012034,             0.51384,             0.24099,             0.21308,            0.071672,            0.070827,            0.034389,           0.0083676,            0.028548,           0.0075481,           0.0075481
                  10,            0.063729,            0.038142,            0.010305,             0.65702,             0.21963,             0.20251,             0.07685,            0.072414,            0.035106,           0.0069094,            0.021269,           0.0082693,           0.0082693
                  11,            0.067205,            0.035393,           0.0090636,             0.64794,             0.33072,             0.23494,            0.076881,             0.06853,            0.032107,           0.0060534,            0.013983,           0.0089827,           0.0089827
                  12,            0.063885,              0.0354,           0.0090136,             0.24321,             0.58053,             0.41543,             0.15276,            0.065044,            0.040247,            0.006223,            0.009406,            0.009406,            0.009406
                  13,            0.065217,            0.033661,           0.0077073,             0.27795,             0.47452,             0.28835,            0.094322,            0.069385,            0.035767,           0.0056538,            0.009406,            0.009406,            0.009406
                  14,            0.060525,            0.034332,           0.0078195,              0.2396,              0.6442,              0.3273,             0.10173,             0.06785,            0.038041,           0.0046572,           0.0093565,           0.0093565,           0.0093565
                  15,            0.058377,            0.033449,           0.0070417,              0.2862,             0.66688,             0.49118,              0.1981,            0.052754,            0.039429,           0.0043631,            0.009307,            0.009307,            0.009307
                  16,            0.055167,            0.032776,           0.0060919,             0.32004,             0.74698,             0.56291,             0.24931,            0.052872,            0.038727,           0.0037966,           0.0092575,           0.0092575,           0.0092575
                  17,            0.053433,            0.031591,           0.0056648,             0.36092,             0.67599,             0.49651,             0.17881,            0.054055,            0.036015,           0.0037527,            0.009208,            0.009208,            0.009208
                  18,            0.053178,            0.031652,           0.0054478,             0.38114,             0.69864,             0.48982,             0.19581,            0.052133,            0.034214,           0.0034467,           0.0091585,           0.0091585,           0.0091585
                  19,            0.050572,            0.031447,           0.0058634,             0.45577,             0.63601,             0.56333,             0.24717,             0.05121,            0.039811,            0.003368,            0.009109,            0.009109,            0.009109
                  20,            0.050035,             0.03189,           0.0054042,             0.47205,             0.67848,             0.62785,             0.25812,            0.061844,            0.036339,           0.0028831,           0.0090595,           0.0090595,           0.0090595
                  21,            0.050471,            0.030674,            0.005062,             0.47962,             0.68213,             0.62744,             0.29488,            0.048181,            0.035861,           0.0029254,             0.00901,             0.00901,             0.00901
                  22,            0.047476,            0.029959,           0.0050069,             0.34607,             0.74305,             0.50958,             0.23357,            0.046184,             0.03338,           0.0030899,           0.0089605,           0.0089605,           0.0089605
                  23,             0.04496,            0.030012,           0.0045439,             0.60831,             0.75325,             0.76482,             0.38241,            0.041587,            0.031346,           0.0031029,            0.008911,            0.008911,            0.008911
                  24,             0.04177,            0.030792,           0.0044426,             0.62904,             0.72848,             0.66531,             0.30708,            0.043458,            0.033877,            0.003173,           0.0088615,           0.0088615,           0.0088615
                  25,            0.042616,            0.029762,           0.0040292,             0.68713,             0.72358,             0.78391,             0.38225,            0.046045,            0.031183,           0.0026522,            0.008812,            0.008812,            0.008812
                  26,            0.041176,            0.029467,           0.0038701,             0.50368,             0.74179,             0.65093,             0.30045,            0.046663,              0.0306,           0.0025846,           0.0087625,           0.0087625,           0.0087625
                  27,            0.042308,            0.029274,           0.0034406,             0.70902,             0.74724,             0.82037,             0.37519,            0.045623,            0.028964,           0.0024977,            0.008713,            0.008713,            0.008713
                  28,            0.039894,            0.028983,           0.0033086,             0.68234,             0.73677,             0.79261,             0.42614,             0.03849,            0.028443,           0.0022555,           0.0086635,           0.0086635,           0.0086635
                  29,             0.03875,            0.028685,           0.0035312,             0.69582,             0.79732,             0.81088,             0.40665,            0.039897,            0.027067,           0.0025347,            0.008614,            0.008614,            0.008614
                  30,             0.04046,            0.028381,           0.0036397,             0.76195,             0.84076,             0.87676,              0.4663,            0.037095,             0.02738,           0.0025494,           0.0085645,           0.0085645,           0.0085645
                  31,            0.037378,            0.027881,           0.0036094,             0.76104,             0.85299,             0.85737,              0.4564,            0.036151,            0.026608,           0.0025045,            0.008515,            0.008515,            0.008515
                  32,            0.037114,             0.02788,           0.0034058,             0.75249,             0.89541,             0.87287,             0.45041,            0.037115,            0.026063,           0.0022822,           0.0084655,           0.0084655,           0.0084655
                  33,            0.038198,            0.027099,           0.0031247,             0.73297,             0.84166,             0.82273,             0.43908,            0.036982,            0.026049,            0.002285,            0.008416,            0.008416,            0.008416
