               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12106,              0.1054,            0.058248,          0.00021569,            0.010524,          0.00011233,          2.3331e-05,              0.1115,            0.074242,            0.056509,              0.0955,              0.0005,              0.0005
                   1,             0.10837,            0.081341,             0.05462,           0.0022074,             0.12047,           0.0019392,           0.0005608,            0.092313,            0.061159,            0.049158,            0.090095,           0.0010946,           0.0010946
                   2,            0.092535,            0.083923,            0.046394,           0.0096136,             0.19745,            0.079605,            0.023827,            0.082124,            0.056908,            0.038281,            0.084683,           0.0016832,           0.0016832
                   3,            0.080565,            0.072481,            0.035785,              0.8671,            0.060567,            0.030741,           0.0062177,            0.080454,            0.055181,            0.030191,            0.079266,           0.0022658,           0.0022658
                   4,            0.075283,            0.064054,            0.029255,             0.91358,            0.091924,             0.10174,            0.026644,            0.079986,            0.056683,            0.026834,            0.073843,           0.0028426,           0.0028426
                   5,            0.071205,            0.064586,            0.024745,             0.90348,             0.10309,             0.13363,            0.045297,            0.067632,             0.05249,            0.023737,            0.068413,           0.0034134,           0.0034134
                   6,            0.069409,            0.063424,            0.021949,             0.45422,             0.42057,             0.20102,            0.056487,            0.070948,            0.051182,             0.02047,            0.062978,           0.0039782,           0.0039782
                   7,            0.066582,            0.061173,            0.019216,             0.52925,             0.42697,             0.27098,            0.097338,            0.065473,            0.045541,            0.017586,            0.057537,           0.0045371,           0.0045371
                   8,            0.066768,            0.057969,            0.017633,              0.4962,             0.36618,             0.26464,             0.11681,            0.061896,            0.045633,            0.015942,             0.05209,           0.0050901,           0.0050901
                   9,            0.065072,            0.054966,            0.016129,             0.52497,             0.38509,             0.21669,            0.077539,             0.06945,            0.043401,            0.014837,            0.046637,           0.0056372,           0.0056372
                  10,            0.065793,            0.054979,            0.015304,             0.59675,             0.31782,             0.29087,             0.10367,            0.066662,            0.038948,            0.013446,            0.041178,           0.0061782,           0.0061782
                  11,            0.064999,            0.046613,            0.014144,             0.55558,             0.44244,             0.31246,            0.079559,            0.063308,             0.03732,            0.011589,            0.035713,           0.0067134,           0.0067134
                  12,            0.065628,            0.049973,            0.012414,             0.54224,             0.33619,             0.27114,            0.099488,            0.071167,            0.035396,            0.010092,            0.030243,           0.0072426,           0.0072426
                  13,            0.066435,            0.044562,            0.011561,             0.55413,             0.33643,             0.30913,             0.10679,            0.067404,            0.034001,            0.009082,            0.024766,           0.0077659,           0.0077659
                  14,            0.065833,            0.044671,             0.01086,             0.54002,             0.57002,             0.34674,              0.1256,             0.06415,            0.034836,           0.0080315,            0.019283,           0.0082832,           0.0082832
                  15,            0.065765,            0.041061,            0.009681,              0.6477,             0.21748,             0.22885,            0.053927,            0.077531,            0.037813,            0.007019,            0.013795,           0.0087946,           0.0087946
                  16,            0.063513,            0.045311,           0.0090214,             0.39606,             0.58702,              0.3922,             0.12358,            0.072024,            0.035795,           0.0063473,            0.009208,            0.009208,            0.009208
                  17,            0.066274,            0.042926,           0.0087169,             0.54354,             0.35462,             0.38341,              0.1238,            0.061273,            0.034122,           0.0060715,            0.009208,            0.009208,            0.009208
                  18,            0.062007,            0.042327,           0.0082971,             0.49909,             0.71066,             0.62179,             0.20403,            0.056408,            0.036167,           0.0054028,           0.0091585,           0.0091585,           0.0091585
                  19,            0.060197,            0.045899,           0.0075285,             0.38176,             0.60696,             0.49696,             0.20462,            0.062955,            0.034102,           0.0050791,            0.009109,            0.009109,            0.009109
