               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11835,            0.094151,            0.057614,          0.00025606,            0.015007,          0.00013779,          2.9367e-05,             0.10228,            0.056642,            0.052863,              0.0928,              0.0008,              0.0008
                   1,            0.096224,            0.074704,            0.048877,           0.0028748,             0.27051,            0.060665,            0.018428,            0.079812,            0.047083,            0.039476,            0.084692,           0.0016916,           0.0016916
                   2,            0.078188,            0.064185,            0.034352,             0.89773,              0.0947,            0.076355,            0.020649,            0.071829,            0.047666,            0.030165,            0.076574,           0.0025743,           0.0025743
                   3,            0.073899,            0.057981,            0.026321,             0.91144,            0.095597,             0.12267,            0.037345,            0.070934,            0.042269,            0.023737,            0.068448,            0.003448,            0.003448
                   4,             0.06907,            0.053961,            0.020971,              0.5981,             0.29529,             0.13619,            0.037354,            0.063903,            0.041247,            0.017024,            0.060313,           0.0043129,           0.0043129
                   5,            0.068226,            0.052311,            0.016736,              0.4406,              0.3596,             0.18939,            0.050085,            0.059665,            0.036057,            0.013323,            0.052169,           0.0051688,           0.0051688
                   6,            0.064696,            0.051174,            0.014598,             0.81073,               0.226,             0.19852,            0.056235,            0.061068,            0.034999,            0.010953,            0.044016,           0.0060159,           0.0060159
                   7,            0.066853,            0.047777,            0.011997,              0.5533,             0.27133,             0.23016,            0.078465,            0.062043,            0.033828,           0.0085121,            0.035854,            0.006854,            0.006854
                   8,            0.067325,            0.043488,            0.011246,             0.50526,             0.38484,             0.23193,            0.093039,            0.062624,            0.028926,           0.0072251,            0.027683,           0.0076832,           0.0076832
                   9,            0.068335,            0.042331,           0.0094209,             0.57427,             0.33478,             0.28776,              0.1012,            0.065164,            0.028639,           0.0060512,            0.019504,           0.0085035,           0.0085035
                  10,            0.064596,            0.040639,           0.0090463,             0.49638,              0.5325,             0.27613,            0.082895,            0.061753,            0.032646,           0.0052002,            0.011315,           0.0093149,           0.0093149
                  11,            0.061527,            0.037608,            0.008465,             0.51773,             0.54146,             0.33982,             0.12258,            0.061615,            0.034777,           0.0043388,           0.0094555,           0.0094555,           0.0094555
                  12,            0.058463,            0.037573,           0.0070158,             0.39795,             0.69062,             0.30938,            0.080707,            0.072206,            0.032818,           0.0037051,           0.0094555,           0.0094555,           0.0094555
                  13,            0.056321,              0.0387,           0.0061893,             0.57594,             0.68256,             0.58664,             0.21992,            0.048886,            0.028946,           0.0035607,            0.009406,            0.009406,            0.009406
                  14,            0.053669,            0.037631,           0.0062042,             0.61656,             0.61658,             0.56724,             0.20309,            0.054719,            0.028635,           0.0032562,           0.0093565,           0.0093565,           0.0093565
                  15,            0.050035,            0.036952,           0.0059814,             0.71904,             0.51494,             0.51473,             0.24793,            0.052298,            0.027001,           0.0032643,            0.009307,            0.009307,            0.009307
                  16,            0.049166,            0.036963,           0.0058298,             0.70727,              0.4303,             0.50766,             0.23822,            0.050816,            0.026533,           0.0034759,           0.0092575,           0.0092575,           0.0092575
                  17,            0.048603,            0.035727,           0.0047587,             0.69934,             0.52872,             0.59376,             0.28402,            0.043793,            0.024608,           0.0030053,            0.009208,            0.009208,            0.009208
