               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034851,            0.030734,           0.0030425,             0.77314,             0.93904,             0.93894,             0.54658,            0.031269,            0.022111,           0.0023469,           0.0082675,           0.0082675,           0.0082675
                  37,             0.03475,            0.032482,           0.0035427,             0.80758,             0.93522,             0.95084,             0.58159,            0.028234,            0.022462,           0.0022455,            0.008218,            0.008218,            0.008218
                  38,            0.034031,            0.028366,           0.0028052,             0.83076,             0.94714,             0.94873,             0.54301,            0.031392,            0.021801,           0.0021734,           0.0081685,           0.0081685,           0.0081685
                  39,            0.036364,            0.031733,           0.0029942,             0.73571,             0.94128,             0.87451,             0.51637,            0.030115,            0.021929,           0.0021122,            0.008119,            0.008119,            0.008119
                  40,            0.034408,             0.03144,           0.0028183,              0.9011,             0.97574,             0.97511,             0.60104,            0.027727,            0.021599,           0.0021066,           0.0080695,           0.0080695,           0.0080695
                  41,            0.033904,            0.031076,           0.0028848,             0.84869,             0.95112,             0.96265,             0.58963,            0.028324,             0.02139,            0.002117,             0.00802,             0.00802,             0.00802
                  42,            0.034225,            0.028666,           0.0030921,             0.88194,             0.96011,             0.97365,             0.59669,            0.029811,            0.021195,           0.0020733,           0.0079705,           0.0079705,           0.0079705
                  43,            0.032358,            0.031161,           0.0027494,             0.82548,             0.94993,             0.96878,             0.56904,            0.034146,            0.022305,           0.0020151,            0.007921,            0.007921,            0.007921
                  44,            0.035472,            0.028505,            0.002945,             0.93215,             0.93914,             0.97372,              0.5787,            0.027275,            0.020094,           0.0021116,           0.0078715,           0.0078715,           0.0078715
                  45,            0.032169,            0.028774,           0.0026117,             0.88821,             0.96229,             0.95159,             0.60621,            0.025318,            0.020319,            0.002185,            0.007822,            0.007822,            0.007822
                  46,            0.031852,            0.029069,           0.0030961,              0.9056,             0.96859,             0.97901,             0.62261,            0.028602,            0.020877,           0.0020993,           0.0077725,           0.0077725,           0.0077725
                  47,            0.031367,            0.029196,           0.0026569,             0.86053,             0.94631,              0.9486,             0.62676,            0.027969,            0.019918,           0.0020208,            0.007723,            0.007723,            0.007723
                  48,            0.032568,            0.030262,           0.0026444,             0.90675,             0.94684,             0.97966,             0.61794,            0.027494,            0.019769,             0.00198,           0.0076735,           0.0076735,           0.0076735
                  49,            0.031232,            0.028076,           0.0024046,              0.8858,             0.94324,             0.96977,             0.58369,            0.026146,            0.020266,           0.0020797,            0.007624,            0.007624,            0.007624
                  50,             0.03137,            0.028644,            0.002598,             0.90442,             0.95661,             0.97521,             0.65244,            0.024596,            0.019156,           0.0020366,           0.0075745,           0.0075745,           0.0075745
                  51,            0.031052,            0.028501,           0.0027678,             0.82001,             0.91475,             0.95143,             0.61387,            0.027591,            0.019582,           0.0019987,            0.007525,            0.007525,            0.007525
                  52,             0.02956,            0.027643,           0.0024096,             0.90921,             0.93707,             0.97202,             0.62344,            0.023753,            0.019408,           0.0020405,           0.0074755,           0.0074755,           0.0074755
                  53,             0.03055,            0.030359,           0.0030531,              0.8917,             0.94247,              0.9724,             0.62636,            0.023754,            0.019917,           0.0021343,            0.007426,            0.007426,            0.007426
                  54,                0.03,            0.027766,           0.0027227,             0.87588,             0.94473,             0.97781,             0.57906,            0.028817,            0.019455,           0.0019948,           0.0073765,           0.0073765,           0.0073765
                  55,            0.031421,            0.026555,           0.0024754,             0.91207,             0.95302,             0.97044,             0.61942,            0.026135,            0.019658,           0.0020755,            0.007327,            0.007327,            0.007327
                  56,            0.029942,            0.027507,           0.0023263,             0.89959,             0.96285,             0.97656,             0.67072,            0.023391,            0.018357,           0.0019479,           0.0072775,           0.0072775,           0.0072775
                  57,            0.029844,            0.027006,           0.0024069,             0.88957,              0.9685,             0.97728,             0.62418,            0.025363,            0.018796,           0.0018737,            0.007228,            0.007228,            0.007228
                  58,             0.02892,            0.026858,           0.0023708,             0.92292,             0.95511,             0.98179,             0.64228,            0.024108,            0.017838,           0.0017792,           0.0071785,           0.0071785,           0.0071785
                  59,            0.029181,            0.026988,           0.0030918,             0.91904,             0.96257,             0.97997,             0.65681,            0.026718,            0.019078,           0.0017747,            0.007129,            0.007129,            0.007129
