               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.045583,            0.035063,            0.006042,             0.64493,             0.76868,             0.71133,             0.36249,            0.037522,            0.025645,           0.0047569,           0.0082675,           0.0082675,           0.0082675
                  37,             0.04338,            0.033413,            0.006226,             0.67831,             0.77503,             0.75745,             0.41469,             0.03611,            0.025922,           0.0045877,            0.008218,            0.008218,            0.008218
                  38,            0.042159,            0.035447,           0.0059647,             0.61196,             0.78886,             0.72355,             0.33289,             0.03928,            0.025508,           0.0046177,           0.0081685,           0.0081685,           0.0081685
                  39,            0.044367,            0.037039,           0.0054623,             0.61953,             0.78261,             0.75163,             0.38771,            0.039413,             0.02615,           0.0044466,            0.008119,            0.008119,            0.008119
                  40,            0.042973,            0.032266,           0.0056438,             0.66341,             0.75407,             0.74873,             0.39035,            0.037851,            0.025511,           0.0043991,           0.0080695,           0.0080695,           0.0080695
                  41,            0.041625,            0.034725,           0.0057769,             0.68852,             0.83772,             0.80288,             0.43617,            0.035413,            0.024868,           0.0042236,             0.00802,             0.00802,             0.00802
                  42,            0.040531,            0.033358,           0.0054856,             0.66944,             0.82658,             0.79423,             0.39943,            0.037605,            0.024844,           0.0041676,           0.0079705,           0.0079705,           0.0079705
                  43,            0.040759,            0.031639,             0.00548,             0.58977,             0.82966,             0.70368,             0.38207,            0.034566,            0.024066,           0.0040255,            0.007921,            0.007921,            0.007921
                  44,            0.041294,            0.035804,           0.0054321,             0.70401,             0.81296,             0.81075,             0.43797,            0.036279,            0.025122,           0.0039839,           0.0078715,           0.0078715,           0.0078715
                  45,            0.040639,            0.033496,           0.0054928,             0.70896,             0.82465,             0.79272,             0.37608,            0.037698,            0.025492,           0.0038109,            0.007822,            0.007822,            0.007822
                  46,            0.039901,            0.033466,           0.0049501,             0.62353,             0.84412,             0.76388,             0.40943,            0.037781,            0.026765,           0.0038223,           0.0077725,           0.0077725,           0.0077725
                  47,            0.041183,            0.034249,           0.0049317,              0.7746,             0.81974,             0.82862,             0.41756,            0.033666,            0.023972,           0.0037495,            0.007723,            0.007723,            0.007723
                  48,            0.038566,            0.032865,           0.0045923,             0.76851,             0.82751,             0.81332,              0.4335,            0.034769,            0.024325,            0.003561,           0.0076735,           0.0076735,           0.0076735
                  49,            0.039947,            0.033444,           0.0048303,             0.78312,             0.83944,             0.86074,             0.44435,            0.032654,            0.023247,           0.0034801,            0.007624,            0.007624,            0.007624
                  50,            0.038117,            0.033873,           0.0050455,             0.65797,             0.83128,             0.78056,             0.43323,            0.034832,            0.023317,           0.0033892,           0.0075745,           0.0075745,           0.0075745
