               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.035255,             0.03351,           0.0027054,             0.83304,             0.76055,             0.76977,             0.43467,            0.029763,            0.019907,            0.001907,           0.0082675,           0.0082675,           0.0082675
                  37,            0.034369,            0.030493,           0.0026079,             0.82634,             0.77571,             0.78051,             0.42278,            0.028148,            0.019872,           0.0019691,            0.008218,            0.008218,            0.008218
                  38,            0.033236,            0.032294,           0.0027462,             0.84167,             0.77974,             0.80216,             0.50011,            0.026382,            0.019481,           0.0019233,           0.0081685,           0.0081685,           0.0081685
                  39,            0.033585,            0.028805,           0.0025473,             0.88246,             0.78147,             0.80783,             0.52755,            0.022133,            0.018672,           0.0018456,            0.008119,            0.008119,            0.008119
                  40,            0.032257,             0.03318,           0.0028106,             0.89742,             0.76519,             0.80883,             0.49182,            0.026572,            0.019037,           0.0018391,           0.0080695,           0.0080695,           0.0080695
                  41,            0.032216,            0.031266,           0.0024282,             0.84787,             0.79946,             0.77576,             0.46276,            0.025188,            0.018511,           0.0018018,             0.00802,             0.00802,             0.00802
                  42,            0.033237,            0.030232,           0.0026188,              0.8765,             0.78964,             0.78678,             0.45059,            0.030974,            0.019303,           0.0018935,           0.0079705,           0.0079705,           0.0079705
                  43,            0.031927,            0.027831,           0.0023923,             0.88208,             0.77131,             0.79266,             0.49901,            0.024659,            0.020057,           0.0018486,            0.007921,            0.007921,            0.007921
                  44,            0.031194,            0.030036,           0.0025501,             0.88927,             0.78463,             0.81112,             0.49929,             0.02364,            0.018021,           0.0017843,           0.0078715,           0.0078715,           0.0078715
                  45,            0.030156,            0.029092,           0.0023081,             0.89784,             0.78767,             0.80384,             0.52774,            0.024208,             0.01805,           0.0017693,            0.007822,            0.007822,            0.007822
                  46,            0.030828,            0.029622,           0.0024333,             0.89692,             0.77501,             0.81225,             0.50516,            0.024816,            0.017544,           0.0016864,           0.0077725,           0.0077725,           0.0077725
                  47,            0.030485,            0.030094,           0.0023761,              0.8965,             0.77796,             0.81159,             0.52548,            0.022727,            0.018613,           0.0016723,            0.007723,            0.007723,            0.007723
                  48,            0.030148,            0.030618,           0.0022571,             0.87811,             0.74775,             0.81046,             0.51407,            0.022085,            0.017883,           0.0016359,           0.0076735,           0.0076735,           0.0076735
                  49,            0.029734,            0.028989,           0.0028401,             0.86769,              0.7453,             0.78953,             0.48169,            0.023702,            0.017819,            0.001628,            0.007624,            0.007624,            0.007624
